post_id,title,status,post_date,slug,old_url,attachment_url,attached_file,parent_id,creator
105,do01000101,inherit,2022-08-10 13:57:13,do01000101,https://zemelaarblog.wordpress.com/2022/08/08/sap-van-gefermenteerde-druiven/do01000101/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/a0652-do01000101.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/a0652-do01000101.jpg,78,ttcremers
13,Zemelaar-logo-dark,inherit,2022-08-23 10:19:22,zemelaar-logo-dark-2,https://zemelaarblog.wordpress.com/zemelaar-logo-dark-2/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/zemelaar-logo-dark-1.png,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/zemelaar-logo-dark-1.png,0,ttcremers
117,IMG-20220724-WA0021,inherit,2022-08-23 11:56:26,img-20220724-wa0021,https://zemelaarblog.wordpress.com/img-20220724-wa0021/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/img-20220724-wa0021.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/img-20220724-wa0021.jpg,0,ttcremers
118,IMG-20220804-WA0006,inherit,2022-08-23 11:56:26,img-20220804-wa0006,https://zemelaarblog.wordpress.com/img-20220804-wa0006/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/img-20220804-wa0006.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/img-20220804-wa0006.jpg,0,ttcremers
119,IMG_20220726_205210,inherit,2022-08-23 11:56:27,img_20220726_205210,https://zemelaarblog.wordpress.com/img_20220726_205210/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/img_20220726_205210.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/img_20220726_205210.jpg,0,ttcremers
122,FB_IMG_1661248876524,inherit,2022-08-23 12:01:29,fb_img_1661248876524,https://zemelaarblog.wordpress.com/fb_img_1661248876524/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/fb_img_1661248876524.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/08/fb_img_1661248876524.jpg,0,ttcremers
195,IMG_20221023_181611,inherit,2022-10-23 18:19:49,img_20221023_181611,https://zemelaarblog.wordpress.com/2022/10/23/stikstofcrises/img_20221023_181611/,https://zemelaarblog.wordpress.com/wp-content/uploads/2022/10/img_20221023_181611.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2022/10/img_20221023_181611.jpg,177,ttcremers
209,DSCF4352,inherit,2023-08-15 18:10:45,dscf4352,https://zemelaarblog.wordpress.com/2023/08/14/pervers-aspirant-wipkonijn/dscf4352/,https://zemelaarblog.wordpress.com/wp-content/uploads/2023/08/dscf4352.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2023/08/dscf4352.jpg,203,ttcremers
213,stereotypical-90s-software-developer-i-love-how-this-guy-v0-i179nq0gwa3a1,inherit,2024-01-02 23:19:34,stereotypical-90s-software-developer-i-love-how-this-guy-v0-i179nq0gwa3a1,https://zemelaarblog.wordpress.com/2024/01/02/zaaien-met-gratis-zaad/stereotypical-90s-software-developer-i-love-how-this-guy-v0-i179nq0gwa3a1/,https://zemelaarblog.wordpress.com/wp-content/uploads/2024/01/stereotypical-90s-software-developer-i-love-how-this-guy-v0-i179nq0gwa3a1.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2024/01/stereotypical-90s-software-developer-i-love-how-this-guy-v0-i179nq0gwa3a1.jpg,212,ttcremers
215,image_Wa7-9FMo_1711292405167_raw,inherit,2024-04-19 20:06:35,image_wa7-9fmo_1711292405167_raw,https://zemelaarblog.wordpress.com/2024/04/19/profijt/image_wa7-9fmo_1711292405167_raw/,https://zemelaarblog.wordpress.com/wp-content/uploads/2024/04/image_wa7-9fmo_1711292405167_raw.jpg,/home/wpcom/public_html/wp-content/blogs.dir/185/209804611/files/2024/04/image_wa7-9fmo_1711292405167_raw.jpg,216,ttcremers
