old_attachment_url,old_relative_path,new_site_path,parent_id,post_slug,post_title,media_title,review_note
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/zemelaar-logo-white.png,2022/08/zemelaar-logo-white.png,/uploads/site/zemelaar-logo.png,0,,,Zemelaar Logo,manual_review_unattached_or_structural_media
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/zemelaar-logo-dark.png,2022/08/zemelaar-logo-dark.png,/uploads/site/zemelaar-logo-dark.png,0,,,zemelaar-logo-dark,manual_review_unattached_or_structural_media
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/6fbcc-img_20220719_210910.jpg,2022/08/6fbcc-img_20220719_210910.jpg,/uploads/site/beeld-03.jpg,0,,,IMG_20220719_210910,manual_review_unattached_or_structural_media
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/bd63f-cropped-img_20220719_210910.jpg,2022/08/bd63f-cropped-img_20220719_210910.jpg,/uploads/site/beeld-04.jpg,0,,,cropped-img_20220719_210910,manual_review_unattached_or_structural_media
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/a59d2-img_20220719_202809.jpg,2022/08/a59d2-img_20220719_202809.jpg,/uploads/striduleren-dan-wel-tjirpen/striduleren-dan-wel-tjirpen-beeld-01.jpg,21,striduleren-dan-wel-tjirpen,Striduleren dan wel tjirpen,IMG_20220719_202809,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/fb69a-img_0109.png,2022/08/fb69a-img_0109.png,/uploads/het-vis-vraagstuk/het-vis-vraagstuk-beeld-01.png,25,het-vis-vraagstuk,Het vis vraagstuk,img_0109,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/35f03-img_0111.jpg,2022/08/35f03-img_0111.jpg,/uploads/het-vis-vraagstuk/het-vis-vraagstuk-beeld-02.jpg,25,het-vis-vraagstuk,Het vis vraagstuk,img_0111,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/f007b-img_0112.jpg,2022/08/f007b-img_0112.jpg,/uploads/ook-hier-vallen-ze-van-het-dak/ook-hier-vallen-ze-van-het-dak-beeld-01.jpg,35,ook-hier-vallen-ze-van-het-dak,Ook hier vallen ze van het dak,img_0112,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/e1aa9-img_0113.jpg,2022/08/e1aa9-img_0113.jpg,/uploads/ook-hier-vallen-ze-van-het-dak/ook-hier-vallen-ze-van-het-dak-beeld-02.jpg,35,ook-hier-vallen-ze-van-het-dak,Ook hier vallen ze van het dak,img_0113,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/9c818-rain-in-sunny-day-at-forest.jpg,2022/08/9c818-rain-in-sunny-day-at-forest.jpg,/uploads/de-gouden-vloeistof-van-de-goden/de-gouden-vloeistof-van-de-goden-rain-in-sunny-day-at-forest.jpg,50,de-gouden-vloeistof-van-de-goden,De gouden vloeistof van de goden,rain-in-sunny-day-at-forest,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/4a17f-img_20220810_131626.jpg,2022/08/4a17f-img_20220810_131626.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-beeld-01.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,IMG_20220810_131626,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/64a5e-img-20220726-wa0004.jpg,2022/08/64a5e-img-20220726-wa0004.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-img-20220726-wa0004.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,IMG-20220726-WA0004,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/9948c-do01000095.jpg,2022/08/9948c-do01000095.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-beeld-03.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,do01000095,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/31a4e-do01000072.jpg,2022/08/31a4e-do01000072.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-beeld-04.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,do01000072,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/987e8-do01000264.jpg,2022/08/987e8-do01000264.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-beeld-05.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,do01000264,review_generated_from_parent_post
https://zemelaarblog.wordpress.com/wp-content/uploads/2022/08/26031-do01000111.jpg,2022/08/26031-do01000111.jpg,/uploads/sap-van-gefermenteerde-druiven/sap-van-gefermenteerde-druiven-beeld-06.jpg,78,sap-van-gefermenteerde-druiven,Sap van gefermenteerde druiven,do01000111,review_generated_from_parent_post
