old_url,new_url,old_path,new_path,title,post_type,status,post_date,slug,review_note
https://zemelaarblog.wordpress.com/home/,https://zemelaar.blog/,/home/,/,Home,page,publish,2022-08-19 07:49:35,home,manual_review: WordPress structural page
https://zemelaarblog.wordpress.com/2022/07/20/striduleren-dan-wel-tjirpen/,https://zemelaar.blog/striduleren-dan-wel-tjirpen/,/2022/07/20/striduleren-dan-wel-tjirpen/,/striduleren-dan-wel-tjirpen/,Striduleren dan wel tjirpen,post,publish,2022-07-20 11:23:41,striduleren-dan-wel-tjirpen,
https://zemelaarblog.wordpress.com/2022/07/20/het-vis-vraagstuk/,https://zemelaar.blog/het-vis-vraagstuk/,/2022/07/20/het-vis-vraagstuk/,/het-vis-vraagstuk/,Het vis vraagstuk,post,publish,2022-07-20 22:06:22,het-vis-vraagstuk,
https://zemelaarblog.wordpress.com/2022/07/22/ook-hier-vallen-ze-van-het-dak/,https://zemelaar.blog/ook-hier-vallen-ze-van-het-dak/,/2022/07/22/ook-hier-vallen-ze-van-het-dak/,/ook-hier-vallen-ze-van-het-dak/,Ook hier vallen ze van het dak,post,publish,2022-07-22 21:43:21,ook-hier-vallen-ze-van-het-dak,
https://zemelaarblog.wordpress.com/2022/07/27/de-gouden-vloeistof-van-de-goden/,https://zemelaar.blog/de-gouden-vloeistof-van-de-goden/,/2022/07/27/de-gouden-vloeistof-van-de-goden/,/de-gouden-vloeistof-van-de-goden/,De gouden vloeistof van de goden,post,publish,2022-07-27 23:07:57,de-gouden-vloeistof-van-de-goden,
https://zemelaarblog.wordpress.com/2022/08/08/sap-van-gefermenteerde-druiven/,https://zemelaar.blog/sap-van-gefermenteerde-druiven/,/2022/08/08/sap-van-gefermenteerde-druiven/,/sap-van-gefermenteerde-druiven/,Sap van gefermenteerde druiven,post,publish,2022-08-08 21:34:35,sap-van-gefermenteerde-druiven,
https://zemelaarblog.wordpress.com/,https://zemelaar.blog/,/,/,Blog,page,publish,2022-08-23 17:50:13,blog,manual_review: WordPress structural page
https://zemelaarblog.wordpress.com/2022/10/23/stikstofcrises/,https://zemelaar.blog/stikstofcrises/,/2022/10/23/stikstofcrises/,/stikstofcrises/,Stikstofcrises,post,publish,2022-10-23 18:20:36,stikstofcrises,
https://zemelaarblog.wordpress.com/2023/08/14/pervers-aspirant-wipkonijn/,https://zemelaar.blog/pervers-aspirant-wipkonijn/,/2023/08/14/pervers-aspirant-wipkonijn/,/pervers-aspirant-wipkonijn/,Pervers aspirant wipkonijn,post,publish,2023-08-14 23:12:53,pervers-aspirant-wipkonijn,
https://zemelaarblog.wordpress.com/2024/01/02/zaaien-met-gratis-zaad/,https://zemelaar.blog/zaaien-met-gratis-zaad/,/2024/01/02/zaaien-met-gratis-zaad/,/zaaien-met-gratis-zaad/,Zaaien met gratis zaad,post,publish,2024-01-02 23:18:47,zaaien-met-gratis-zaad,
https://zemelaarblog.wordpress.com/2024/04/19/profijt/,https://zemelaar.blog/profijt/,/2024/04/19/profijt/,/profijt/,Gunstig effect,post,publish,2024-04-19 20:05:46,profijt,
https://zemelaarblog.wordpress.com/2024/05/21/roze-op-het-strand-roze-in-het-pashokje/,https://zemelaar.blog/roze-op-het-strand-roze-in-het-pashokje/,/2024/05/21/roze-op-het-strand-roze-in-het-pashokje/,/roze-op-het-strand-roze-in-het-pashokje/,"Roze op het strand, roze in het pashokje",post,publish,2024-05-21 16:06:44,roze-op-het-strand-roze-in-het-pashokje,
https://zemelaarblog.wordpress.com/2024/05/29/memento-mori/,https://zemelaar.blog/memento-mori/,/2024/05/29/memento-mori/,/memento-mori/,Memento mori,post,publish,2024-05-29 13:08:03,memento-mori,
https://zemelaarblog.wordpress.com/2024/06/20/brievenbus-mysteries-en-ongewenste-deposities/,https://zemelaar.blog/brievenbus-mysteries-en-ongewenste-deposities/,/2024/06/20/brievenbus-mysteries-en-ongewenste-deposities/,/brievenbus-mysteries-en-ongewenste-deposities/,Brievenbus Mysteries en Ongewenste Deposities,post,publish,2024-06-20 19:37:11,brievenbus-mysteries-en-ongewenste-deposities,
https://zemelaarblog.wordpress.com/2025/06/11/een-waardeloze-toerist/,https://zemelaar.blog/een-waardeloze-toerist/,/2025/06/11/een-waardeloze-toerist/,/een-waardeloze-toerist/,Een waardeloze toerist,post,publish,2025-06-11 18:04:28,een-waardeloze-toerist,
https://zemelaarblog.wordpress.com/2025/06/27/in-den-beginnen-was-er-anus/,https://zemelaar.blog/in-den-beginnen-was-er-anus/,/2025/06/27/in-den-beginnen-was-er-anus/,/in-den-beginnen-was-er-anus/,In den beginnen was er anus,post,publish,2025-06-27 00:29:00,in-den-beginnen-was-er-anus,
https://zemelaarblog.wordpress.com/2025/06/28/zijn-ouwe-zemelaars-eigenwijs/,https://zemelaar.blog/zijn-ouwe-zemelaars-eigenwijs/,/2025/06/28/zijn-ouwe-zemelaars-eigenwijs/,/zijn-ouwe-zemelaars-eigenwijs/,Zijn ouwe zemelaars (eigen)wijs,post,publish,2025-06-28 11:38:35,zijn-ouwe-zemelaars-eigenwijs,
https://zemelaarblog.wordpress.com/2025/11/28/klets-kronieken/,https://zemelaar.blog/klets-kronieken/,/2025/11/28/klets-kronieken/,/klets-kronieken/,Klets Kronieken,post,publish,2025-11-28 11:30:03,klets-kronieken,
https://zemelaarblog.wordpress.com/2025/12/06/de-schimmel-van-sinterklaas/,https://zemelaar.blog/de-schimmel-van-sinterklaas/,/2025/12/06/de-schimmel-van-sinterklaas/,/de-schimmel-van-sinterklaas/,De schimmel van Sinterklaas,post,publish,2025-12-06 20:28:27,de-schimmel-van-sinterklaas,
https://zemelaarblog.wordpress.com/2025/12/30/oorkerst/,https://zemelaar.blog/oorkerst/,/2025/12/30/oorkerst/,/oorkerst/,Oorkerst,post,publish,2025-12-30 11:58:28,oorkerst,
